"filename","bytes","sha256","stage","status"
"PRE_FREEZE_SOURCE_AND_METADATA_SANITIZED_V3_2026-09-07.zip","36791493","cd3e69a4cdf9a32ec48be62f142a53864c4eba34b8213ca8bf5e601752127166","STAGE1_PRE_FREEZE","OPEN_ALLOWED"
"POST_PROTOCOL_TARGET_VALUES_2026-09-07.zip","41346852","94e648dfa9ec9b9cd16a6eaea067f1d823e7d74eb128cc27cfc6de473081e2df","STAGE2_TARGET_VALUES","SEALED_UNTIL_PROTOCOL_FREEZE"
"POST_ASSIGNMENT_LABELS_2026-09-07.zip","3815","72fff8d5fe2c1785018915bf1c567d58b20184d71d5122e2fdebb001d344d30a","STAGE3_EVALUATION_LABELS","SEALED_UNTIL_ASSIGNMENT_HASH"
