replicate,ari,fit_ok
0,0.6889279437609842,True
1,0.8060640622296834,True
2,0.5288697788697789,True
3,0.6304896907216495,True
4,0.5803355168557277,True
5,0.48214274331826906,True
6,0.43570189757192407,True
7,0.8060640622296834,True
8,0.5803355168557277,True
9,0.5298924841024594,True
10,0.6338585693490308,True
11,0.5255670103092783,True
12,0.5810637524163141,True
13,0.8060640622296834,True
14,0.6338585693490308,True
15,0.7463144963144963,True
16,0.7445360824742268,True
17,0.34992858600285653,True
18,0.34992858600285653,True
19,0.35021032504780114,True
