replicate,mean_stability_ari,full_fit_ok,subsample_fit_successes
0,0.01853590928068629,True,20
1,0.032395390155562656,True,20
2,0.25933346341375973,True,20
3,0.05763604157078415,True,19
4,0.08805012638424115,True,19
5,0.13979422721349927,True,20
6,0.1502961351185162,True,20
7,0.21142756316294936,True,19
8,0.13509532271175065,True,19
9,0.15462642045885125,True,20
10,0.07372569529138052,True,20
11,0.005577278008624447,True,20
12,0.10315010186113494,True,19
13,-0.010225446863694369,True,20
14,0.04964243910609313,True,19
15,0.2108235678670607,True,20
16,0.01055328344302291,True,20
17,0.05321135100199269,True,20
18,0.1540436835717073,True,16
19,0.1511023220973272,True,19
20,0.030636794132400273,True,19
21,0.23420696400459243,True,19
22,-0.0020170541053175575,True,20
23,0.11017897004567231,True,20
24,0.22519888867714938,True,18
25,0.0,False,0
26,0.11056404923032508,True,19
27,0.12441924646586806,True,20
28,0.08206308097896022,True,19
29,0.0,False,0
30,0.0,False,0
31,0.21039258262912375,True,20
32,0.0571624412432933,True,19
33,0.00041637296208024943,True,19
34,0.1297471496023461,True,19
35,0.12612904778412679,True,20
36,0.0,False,0
37,0.1001581975152005,True,20
38,0.03203117872053158,True,20
39,0.05579477811453448,True,17
40,0.1231920994897846,True,20
41,-0.0026288660683643035,True,20
42,0.07290200886890759,True,19
43,0.5575986854672156,True,20
44,0.24001938494813485,True,20
45,0.2609226434430375,True,19
46,-0.013848700550485643,True,20
47,0.00884402675247371,True,19
48,0.14881850381964157,True,16
49,-0.004633848703026128,True,20
50,0.005223509083654926,True,20
51,-0.009204001589585533,True,18
52,0.12346395481817732,True,20
53,0.10344400562522786,True,17
54,0.37328541671682575,True,17
55,0.1276619753159401,True,20
56,0.2542383669137495,True,18
57,0.07465991439533062,True,19
58,0.08622012831260016,True,18
59,0.050378446334390856,True,19
60,0.1290248870437647,True,20
61,0.001942219483308013,True,20
62,0.15127984592835547,True,20
63,0.03827853580007711,True,19
64,0.09102146251759366,True,20
65,0.01752631307220306,True,18
66,0.008017500052461062,True,19
67,0.03242701912698251,True,20
68,0.17424122636592673,True,20
69,0.046301751979726156,True,20
70,0.11118049184012062,True,12
71,0.022877022395282946,True,20
72,0.29983284772215,True,20
73,0.15899987519378186,True,20
74,0.017601951560238166,True,20
75,0.08538466933509607,True,19
76,0.21353727698755912,True,20
77,0.021654540468963403,True,20
78,0.0973567558997275,True,20
79,0.03437696031779086,True,20
80,0.02454372838816627,True,20
81,0.013861418054075236,True,20
82,0.3262235785480101,True,20
83,0.045867795627023825,True,20
84,0.03342824385779687,True,19
85,0.06341834682684645,True,20
86,0.06515484555467119,True,20
87,0.026653028633068086,True,19
88,0.14299280683104645,True,20
89,0.09189779360104268,True,20
90,0.0,False,0
91,0.07180838004354281,True,19
92,0.015900546196724624,True,20
93,0.033749957415090494,True,17
94,0.016662526306839006,True,19
95,0.10435205709703832,True,20
96,0.08106309183691848,True,20
97,0.03926243230966518,True,18
98,0.5326276066739686,True,18
99,0.0,False,0
100,0.1738385968998158,True,20
101,0.3638637864374061,True,20
102,0.14101714802432058,True,20
103,0.018894572144565615,True,18
104,0.043895913467274186,True,17
105,0.1586282956879434,True,19
106,0.03966005478247166,True,19
107,0.19529202592174005,True,19
108,0.00930110016511971,True,19
109,0.15017379197106046,True,20
110,0.1381398801776334,True,19
111,0.3201601421017719,True,19
112,0.022715704187657844,True,20
113,0.0388290931392757,True,19
114,0.5509699363661745,True,19
115,0.2942533841418624,True,19
116,0.10493939049684031,True,19
117,0.09404456519042918,True,20
118,0.0,False,0
119,0.0812977104957601,True,19
120,0.1763054571727733,True,20
121,0.20249929526348914,True,20
122,0.017131947606081326,True,19
123,0.012543503156010183,True,20
124,0.2743902198799613,True,20
125,0.07983482105925299,True,20
126,0.07240918514889655,True,16
127,0.07074454591283602,True,20
128,0.05893612790841084,True,19
129,-0.00011000859846379608,True,20
130,0.04994490757790301,True,20
131,0.18481494557782036,True,19
132,0.0,False,0
133,0.016874798838321055,True,19
134,0.021148838843386752,True,19
135,0.02959254756034655,True,20
136,0.2151428872812097,True,20
137,0.09543317864629808,True,20
138,0.11232547600638258,True,19
139,0.0,False,0
140,0.052313154466901754,True,19
141,-0.007734208653961324,True,20
142,0.06899563671614534,True,20
143,0.056752063703641144,True,18
144,0.0008039148481374375,True,19
145,0.1582555530142426,True,19
146,0.3633529579074187,True,19
147,0.21541174611689407,True,20
148,0.14398862794061945,True,20
149,0.005060930808602251,True,17
150,0.055010694164413586,True,18
151,0.016717583489762343,True,20
152,0.004423435206303772,True,19
153,0.1434836350794081,True,19
154,0.2698942122643887,True,20
155,0.14960067806186234,True,18
156,0.009345905814019027,True,20
157,0.0,False,0
158,0.0613829506788104,True,20
159,0.08125372766654806,True,20
160,0.11338312309629728,True,20
161,0.040006247256736294,True,18
162,0.00631608497497506,True,19
163,0.009911152197005231,True,20
164,0.16105392714592537,True,18
165,0.06557408832540026,True,20
166,0.0,False,0
167,0.12276773774769312,True,20
168,0.4060658090581663,True,20
169,0.0002749704705336735,True,19
170,0.05599139218728488,True,20
171,0.10038928474690394,True,20
172,0.06295098214074954,True,20
173,0.23057037091994462,True,19
174,0.0,False,0
175,0.004829214191737447,True,20
176,0.060438519931936344,True,20
177,0.15565088539799357,True,19
178,0.3892809139339303,True,20
179,0.059498787873539974,True,20
180,0.16037982537227782,True,20
181,0.02551215279848546,True,17
182,0.0036100644774689225,True,16
183,0.2606299883685687,True,17
184,0.0,False,0
185,0.11782122526597234,True,20
186,0.13239933433096884,True,19
187,0.0075011478161881836,True,19
188,0.07367773247971607,True,20
189,0.2056221329514137,True,20
190,0.022076694429442757,True,19
191,0.19333414822858477,True,19
192,0.09941765678661847,True,19
193,0.025704041499368245,True,17
194,0.05975465182036963,True,17
195,0.0,False,0
196,0.12806807896250194,True,19
197,0.10615123342622221,True,20
198,0.08309171558063735,True,20
