dataset,authentic_decision,C_target,D,R,false_reassurance,false_reassurance_upper95,calibration_acceptable
GSE27262,PASS,0.8916666666666665,0.5889928698752226,1.4729829210836272,0.0,0.0036857628653051647,True
GSE32863,PASS,0.6146825396825397,0.3120087428910958,1.0154208031858207,0.0,0.0036857628653051647,True
