dataset,structural_decision,C_target,D,R,specimen_assignment_coverage,participant_assignment_coverage,accepted_n,accepted_ari,accepted_nmi,forced_n,forced_ari,forced_nmi
GSE27262,PASS,0.8916666666666665,0.5889928698752226,1.4729829210836272,1.0,1.0,50,0.9199693343555215,0.8782063702756281,50,0.9199693343555215,0.8782063702756281
GSE32863,PASS,0.6146825396825397,0.3120087428910958,1.0154208031858207,0.8103448275862069,0.9491525423728814,94,0.5177621224965512,0.5202361014832134,116,0.4714710020322026,0.5002458517202212
