dataset,total_n,label_classes,accepted_n,accepted_fraction,accepted_ari,accepted_nmi,accepted_mapping,accepted_mapped_accuracy,accepted_mapped_balanced_accuracy,forced_n,forced_fraction,forced_ari,forced_nmi,forced_mapping,forced_mapped_accuracy,forced_mapped_balanced_accuracy,label_file_sample_column,label_file_label_column
GSE27262,50,"[""adjacent_normal"", ""tumor""]",50,1.0,0.9199693343555215,0.8782063702756281,"{""P0"": ""tumor"", ""P1"": ""adjacent_normal""}",0.98,0.98,50,1.0,0.9199693343555215,0.8782063702756281,"{""P0"": ""tumor"", ""P1"": ""adjacent_normal""}",0.98,0.98,gsm,evaluation_label
GSE32863,116,"[""adjacent_normal"", ""tumor""]",94,0.8103448275862069,0.5177621224965512,0.5202361014832134,"{""P0"": ""tumor"", ""P1"": ""adjacent_normal""}",0.8617021276595744,0.8414634146341464,116,1.0,0.4714710020322026,0.5002458517202212,"{""P0"": ""tumor"", ""P1"": ""adjacent_normal""}",0.8448275862068966,0.8448275862068966,gsm,evaluation_label
