dataset,gsm,participant_id,pair_status,assignment,reason,best_profile_id,best_score,margin,executable_coverage,profile_scores,profile_coverages,validation_score,evaluation_label,forced_profile_id
GSE32863,GSM813492,07L6,paired,ASSIGNED,OK,P0,0.6120811703633788,0.20273129133426782,1.0,"[0.6120811703633788, 0.409349879029111]","[1.0, 1.0]",0.9,tumor,P0
GSE32863,GSM813493,07L66,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813494,07L66,paired,UNASSIGNED,LOW_SCORE,P1,0.5957230937329274,,1.0,"[0.4022337580619788, 0.5957230937329274]","[1.0, 1.0]",0.7,tumor,P1
GSE32863,GSM813495,3003,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.4,adjacent_normal,P1
GSE32863,GSM813496,3003,paired,ASSIGNED,OK,P0,0.7140160453043887,0.416427658509727,1.0,"[0.7140160453043887, 0.29758838679466165]","[1.0, 1.0]",0.6,tumor,P0
GSE32863,GSM813497,3012,paired,UNASSIGNED,LOW_SCORE,P1,0.5956450479981268,,1.0,"[0.4112002516910491, 0.5956450479981268]","[1.0, 1.0]",0.5,adjacent_normal,P1
GSE32863,GSM813498,3012,paired,UNASSIGNED,LOW_SCORE,P0,0.5131351266320591,,1.0,"[0.5131351266320591, 0.48325918988527267]","[1.0, 1.0]",0.7,tumor,P0
GSE32863,GSM813499,3013,paired,UNASSIGNED,LOW_SCORE,P1,0.5956450479981268,,1.0,"[0.4112002516910491, 0.5956450479981268]","[1.0, 1.0]",0.2,adjacent_normal,P1
GSE32863,GSM813500,3013,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.6,tumor,P1
GSE32863,GSM813501,3014,paired,UNASSIGNED,LOW_SCORE,P1,0.5956450479981268,,1.0,"[0.4112002516910491, 0.5956450479981268]","[1.0, 1.0]",0.2,adjacent_normal,P1
GSE32863,GSM813502,3014,paired,ASSIGNED,OK,P0,0.9065596979707408,0.8112658557792165,1.0,"[0.9065596979707408, 0.09529384219152422]","[1.0, 1.0]",0.8,tumor,P0
GSE32863,GSM813503,3021,paired,ASSIGNED,OK,P1,0.7083430890501833,0.41669608574673833,1.0,"[0.29164700330344495, 0.7083430890501833]","[1.0, 1.0]",0.3,adjacent_normal,P1
GSE32863,GSM813504,3021,paired,ASSIGNED,OK,P0,0.8077709611451941,0.6223342952589848,1.0,"[0.8077709611451941, 0.1854366658862093]","[1.0, 1.0]",0.8,tumor,P0
GSE32863,GSM813505,3022,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.2,adjacent_normal,P1
GSE32863,GSM813506,3022,paired,ASSIGNED,OK,P1,0.7191914461874658,0.42502753239165014,1.0,"[0.29416391379581563, 0.7191914461874658]","[1.0, 1.0]",0.5,tumor,P1
GSE32863,GSM813507,3023,singleton,UNASSIGNED,LOW_SCORE,P0,0.5969797074091551,,1.0,"[0.5969797074091551, 0.4211347849840006]","[1.0, 1.0]",0.9,tumor,P0
GSE32863,GSM813508,3024,paired,UNASSIGNED,LOW_SCORE,P1,0.5956450479981268,,1.0,"[0.4112002516910491, 0.5956450479981268]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813509,3024,paired,UNASSIGNED,LOW_SCORE,P0,0.521787006449583,,1.0,"[0.521787006449583, 0.483025052680871]","[1.0, 1.0]",0.8,tumor,P0
GSE32863,GSM813510,3030,paired,UNASSIGNED,LOW_SCORE,P1,0.5956450479981268,,1.0,"[0.4112002516910491, 0.5956450479981268]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813511,3030,paired,ASSIGNED,OK,P0,0.6149126946672957,0.2109479713394256,1.0,"[0.6149126946672957, 0.4039647233278701]","[1.0, 1.0]",0.6,tumor,P0
GSE32863,GSM813512,3031,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.2,adjacent_normal,P1
GSE32863,GSM813513,3031,paired,ASSIGNED,OK,P0,0.7055214723926378,0.3914654355550511,1.0,"[0.7055214723926378, 0.31405603683758676]","[1.0, 1.0]",1.0,tumor,P0
GSE32863,GSM813514,3032,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813515,3032,paired,UNASSIGNED,LOW_SCORE,P0,0.521787006449583,,1.0,"[0.521787006449583, 0.483025052680871]","[1.0, 1.0]",0.8,tumor,P0
GSE32863,GSM813516,3033,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813517,3033,paired,ASSIGNED,OK,P0,0.6123957841749251,0.21927941798433748,1.0,"[0.6123957841749251, 0.39311636619058765]","[1.0, 1.0]",0.5,tumor,P0
GSE32863,GSM813518,3035,singleton,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813519,3036,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813520,3036,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.7,tumor,P1
GSE32863,GSM813521,3039,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.2,adjacent_normal,P1
GSE32863,GSM813522,3039,paired,ASSIGNED,OK,P0,0.7137014314928424,0.39987953185965736,1.0,"[0.7137014314928424, 0.313821899633185]","[1.0, 1.0]",0.9,tumor,P0
GSE32863,GSM813523,L15,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813524,L15,paired,ASSIGNED,OK,P0,0.9065596979707408,0.8112658557792165,1.0,"[0.9065596979707408, 0.09529384219152422]","[1.0, 1.0]",0.8,tumor,P0
GSE32863,GSM813525,L2,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813526,L2,paired,UNASSIGNED,LOW_SCORE,P0,0.5969797074091551,,1.0,"[0.5969797074091551, 0.4211347849840006]","[1.0, 1.0]",0.8,tumor,P0
