dataset,gsm,participant_id,pair_status,assignment,reason,best_profile_id,best_score,margin,executable_coverage,profile_scores,profile_coverages,validation_score,evaluation_label,forced_profile_id
GSE27262,GSM673900,196,paired,ASSIGNED,OK,P1,1.0,1.0,1.0,"[0.0, 1.0]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673901,196,paired,ASSIGNED,OK,P0,0.7083529966965549,0.4166960857467384,1.0,"[0.7083529966965549, 0.29165691094981655]","[1.0, 1.0]",0.9,tumor,P0
GSE27262,GSM673902,208,paired,ASSIGNED,OK,P1,0.6858659174276125,0.38289281690849974,1.0,"[0.30297310051911275, 0.6858659174276125]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673903,208,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",0.8,tumor,P0
GSE27262,GSM673904,209,paired,ASSIGNED,OK,P1,1.0,1.0,1.0,"[0.0, 1.0]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673905,209,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",1.0,tumor,P0
GSE27262,GSM673906,210,paired,ASSIGNED,OK,P1,0.8039491141809099,0.6224169449186793,1.0,"[0.18153216926223056, 0.8039491141809099]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE27262,GSM673907,210,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",1.0,tumor,P0
GSE27262,GSM673908,212,paired,ASSIGNED,OK,P1,0.7811597596191368,0.5706831196946441,1.0,"[0.21047663992449264, 0.7811597596191368]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673909,212,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",1.0,tumor,P0
GSE27262,GSM673910,226,paired,ASSIGNED,OK,P1,1.0,1.0,1.0,"[0.0, 1.0]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE27262,GSM673911,226,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",0.9,tumor,P0
GSE27262,GSM673912,234,paired,ASSIGNED,OK,P1,0.8039491141809099,0.6224169449186793,1.0,"[0.18153216926223056, 0.8039491141809099]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE27262,GSM673913,234,paired,ASSIGNED,OK,P0,0.9090766084631114,0.8029344091343048,1.0,"[0.9090766084631114, 0.10614219932880666]","[1.0, 1.0]",1.0,tumor,P0
GSE27262,GSM673914,257,paired,ASSIGNED,OK,P1,1.0,1.0,1.0,"[0.0, 1.0]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673915,257,paired,ASSIGNED,OK,P0,0.8184678307377692,0.6224169449186792,1.0,"[0.8184678307377692, 0.19605088581909]","[1.0, 1.0]",0.9,tumor,P0
GSE27262,GSM673916,259,paired,ASSIGNED,OK,P1,0.8873019589479434,0.7677487105603392,1.0,"[0.11955324838760419, 0.8873019589479434]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673917,259,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",1.0,tumor,P0
GSE27262,GSM673918,265,paired,ASSIGNED,OK,P1,0.8873019589479434,0.7677487105603392,1.0,"[0.11955324838760419, 0.8873019589479434]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE27262,GSM673919,265,paired,ASSIGNED,OK,P0,1.0,1.0,1.0,"[1.0, 0.0]","[1.0, 1.0]",1.0,tumor,P0
GSE32863,GSM813411,05L12,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813412,05L12,paired,ASSIGNED,OK,P0,0.9093912222746579,0.8194825357843746,1.0,"[0.9093912222746579, 0.0899086864902833]","[1.0, 1.0]",1.0,tumor,P0
GSE32863,GSM813413,05L13,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813414,05L13,paired,ASSIGNED,OK,P0,0.7137014314928424,0.39987953185965736,1.0,"[0.7137014314928424, 0.313821899633185]","[1.0, 1.0]",0.8,tumor,P0
GSE32863,GSM813415,05L19,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813416,05L19,paired,ASSIGNED,OK,P0,0.8071417335221015,0.5886136760804407,1.0,"[0.8071417335221015, 0.2185280574416608]","[1.0, 1.0]",0.9,tumor,P0
GSE32863,GSM813417,05L27,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813418,05L27,paired,UNASSIGNED,LOW_SCORE,P1,0.5057363615078435,,1.0,"[0.5018090294163913, 0.5057363615078435]","[1.0, 1.0]",0.9,tumor,P1
GSE32863,GSM813419,05L32,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813420,05L32,paired,ASSIGNED,OK,P0,0.6237218813905929,0.2530826868225761,1.0,"[0.6237218813905929, 0.3706391945680168]","[1.0, 1.0]",0.4,tumor,P0
GSE32863,GSM813421,05L34,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813422,05L34,paired,ASSIGNED,OK,P1,0.7018652930617341,0.3905549265366437,1.0,"[0.31131036652509037, 0.7018652930617341]","[1.0, 1.0]",0.6,tumor,P1
GSE32863,GSM813423,05L39,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813424,05L39,paired,ASSIGNED,OK,P1,0.7017872473269335,0.3815103871727728,1.0,"[0.32027686015416074, 0.7017872473269335]","[1.0, 1.0]",0.4,tumor,P1
GSE32863,GSM813425,05L4,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813426,05L4,paired,ASSIGNED,OK,P0,0.8071417335221015,0.5886136760804407,1.0,"[0.8071417335221015, 0.2185280574416608]","[1.0, 1.0]",0.8,tumor,P0
GSE32863,GSM813427,05L40,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813428,05L40,paired,ASSIGNED,OK,P0,0.6120811703633788,0.20273129133426782,1.0,"[0.6120811703633788, 0.409349879029111]","[1.0, 1.0]",0.9,tumor,P0
GSE32863,GSM813429,05L43,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813430,05L43,paired,ASSIGNED,OK,P0,0.7143306591159351,0.43360015103820154,1.0,"[0.7143306591159351, 0.28073050807773353]","[1.0, 1.0]",0.8,tumor,P0
GSE32863,GSM813431,05L45,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813432,05L45,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.5,tumor,P1
GSE32863,GSM813433,05L47,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813434,05L47,paired,UNASSIGNED,LOW_SCORE,P0,0.5243039169419536,,1.0,"[0.5243039169419536, 0.49387340981815336]","[1.0, 1.0]",0.8,tumor,P0
GSE32863,GSM813435,05L49,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813436,05L49,paired,ASSIGNED,OK,P0,0.7165329557967594,0.40809621186481526,1.0,"[0.7165329557967594, 0.3084367439319441]","[1.0, 1.0]",1.0,tumor,P0
GSE32863,GSM813437,05L54,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813438,05L54,paired,ASSIGNED,OK,P0,0.6123957841749251,0.21927941798433748,1.0,"[0.6123957841749251, 0.39311636619058765]","[1.0, 1.0]",0.5,tumor,P0
GSE32863,GSM813439,05L6,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813440,05L6,paired,UNASSIGNED,LOW_SCORE,P1,0.5891672520096776,,1.0,"[0.4308636149126946, 0.5891672520096776]","[1.0, 1.0]",0.8,tumor,P1
GSE32863,GSM813441,05L7,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813442,05L7,paired,UNASSIGNED,LOW_SCORE,P0,0.5243039169419536,,1.0,"[0.5243039169419536, 0.49387340981815336]","[1.0, 1.0]",0.9,tumor,P0
GSE32863,GSM813443,05L9,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813444,05L9,paired,ASSIGNED,OK,P1,0.7191914461874658,0.42502753239165014,1.0,"[0.29416391379581563, 0.7191914461874658]","[1.0, 1.0]",0.8,tumor,P1
GSE32863,GSM813445,06L10,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.1,adjacent_normal,P1
GSE32863,GSM813446,06L10,paired,ASSIGNED,OK,P1,0.81448528837899,0.6137616766124335,1.0,"[0.20072361176655654, 0.81448528837899]","[1.0, 1.0]",0.4,tumor,P1
GSE32863,GSM813447,06L11,paired,ASSIGNED,OK,P1,0.9043939748692733,0.794279140828059,1.0,"[0.11011483404121437, 0.9043939748692733]","[1.0, 1.0]",0.0,adjacent_normal,P1
GSE32863,GSM813448,06L11,paired,UNASSIGNED,LOW_SCORE,P0,0.521787006449583,,1.0,"[0.521787006449583, 0.483025052680871]","[1.0, 1.0]",0.8,tumor,P0
